Catalyst,Ratio of CH4 in Feed,Reaction Temperature,Ni Loading,Reaction Time,Pore Size,Pore Volume,Surface Area,H2-TPR Peak Temperature,Ni Particle Size,Ni Dispersion,Modifier Electronegativity,GHSV,CH4 Conversion,CO2 Conversion,Syngas_Ratio,Paper no.
12NiMgO/Al2O3,0.2500,700.0000,11.9000,5.0000,15.4000,0.1500,32.2000,768.0000,13.2000,,1.3100,24000.0000,72.0000,79.2000,0.8900,2021-40
Ni–La2O3,0.1000,700.0000,7.1400,50.0000,3.7000,0.1800,37.3000,580.0000,10.3000,,0.0000,30000.0000,60.3000,75.0000,0.7800,2021-40
Cs–Ni–La2O3,0.1000,700.0000,6.9400,50.0000,2.1000,0.1500,32.9000,630.0000,13.4000,,0.7900,30000.0000,69.9000,83.3000,0.8300,2021-44
K–Ni–La2O3,0.1000,700.0000,6.6900,50.0000,2.1000,0.1600,29.7000,592.0000,11.6000,,0.8200,30000.0000,73.7000,85.3000,0.8800,2021-44
Li–Ni–La2O3,0.1000,700.0000,6.6300,50.0000,2.5000,0.2400,42.9000,581.0000,14.3000,,0.9800,30000.0000,68.4000,81.8000,0.8300,2021-44
Mg–Ni–La2O3,0.1000,700.0000,6.7800,50.0000,2.8000,0.3600,54.5000,598.0000,14.8000,,1.3100,30000.0000,78.9000,90.7000,0.9200,2021-44
–Ni–La2O3,0.1000,700.0000,6.9500,50.0000,2.2000,0.1300,26.8000,595.0000,13.0000,,0.9300,30000.0000,78.0000,89.2000,0.9000,2021-44
Ni/SiO2,0.5000,750.0000,10.6000,12.0000,10.1000,0.1010,40.0000,658.0000,4.2000,17.8000,1.1200,24000.0000,60.5000,69.0000,0.8600,2021-51
Ni-Ce5- 1/SiO2,0.5000,750.0000,9.7600,12.0000,12.2000,0.1440,47.0000,625.0000,4.8000,13.6000,1.1200,24000.0000,60.5000,69.0000,0.8500,2021-51
Ni-Ce5- 2/SiO2,0.5000,750.0000,9.0300,12.0000,11.8000,0.1750,59.0000,601.0000,4.9000,16.5000,1.1200,24000.0000,77.8000,82.0000,0.9100,2021-51
Ni-Ce5- 3/SiO2,0.5000,750.0000,8.9400,12.0000,20.1000,0.2470,49.0000,608.0000,5.4000,13.6000,1.1200,24000.0000,80.5000,82.0000,0.9600,2021-51
Ni/SiO2,0.5000,750.0000,10.6000,24.0000,10.1000,0.1010,40.0000,658.0000,4.2000,17.8000,1.1200,24000.0000,56.2000,63.3000,0.8300,2021-51
Ni-Ce5- 1/SiO2,0.5000,750.0000,9.7600,24.0000,12.2000,0.1440,47.0000,625.0000,4.8000,13.6000,1.1200,24000.0000,58.1000,65.3000,0.8400,2021-51
Ni-Ce5- 2/SiO2,0.5000,750.0000,9.0300,24.0000,11.8000,0.1750,59.0000,601.0000,4.9000,16.5000,1.1200,24000.0000,76.2000,80.0000,0.9100,2021-51
Ni-Ce5- 3/SiO2,0.5000,750.0000,8.9400,24.0000,20.1000,0.2470,49.0000,608.0000,5.4000,13.6000,1.1200,24000.0000,78.5000,80.8300,0.9600,2021-51
10Ni/MA,0.2500,620.0000,10.0000,10.0000,4.7500,0.2000,97.0000,350.0000,4.4000,22.8000,0.0000,18000.0000,73.3000,45.2000,0.5800,2021-53
10Ni/MA,0.2500,620.0000,10.0000,20.0000,4.7500,0.2000,97.0000,350.0000,4.4000,22.8000,0.0000,18000.0000,70.4600,44.6000,0.5800,2021-53
10Ni(20T)/MA,0.2500,620.0000,10.0000,10.0000,5.4000,0.4000,99.0000,505.0000,2.4000,42.2000,0.0000,18000.0000,68.9200,42.8000,0.9600,2021-53
10Ni(20T)/MA,0.2500,620.0000,10.0000,20.0000,5.4000,0.4000,99.0000,505.0000,2.4000,42.2000,0.0000,18000.0000,66.8000,38.8000,0.9800,2021-53
10Ni(12T)/MA,0.2500,620.0000,10.0000,6.0000,5.7000,0.4000,98.0000,420.0000,2.2000,45.6000,0.0000,18000.0000,54.5000,37.6000,0.9000,2021-53
10Ni(18T)/MA,0.2500,620.0000,10.0000,6.0000,5.4000,0.4000,98.0000,495.0000,2.2000,45.2000,0.0000,18000.0000,70.5000,41.0000,0.9000,2021-53
10Ni(20T)/MA,0.2500,620.0000,10.0000,6.0000,5.4000,0.4000,99.0000,505.0000,2.4000,42.2000,0.0000,18000.0000,69.5000,43.5000,0.8900,2021-53
NiLa/SiO2,0.5000,750.0000,7.9400,5.0000,8.3000,0.3200,138.0000,685.0000,4.5000,13.1000,1.1000,48000.0000,62.9000,67.4000,0.8000,2021-56
NiCe/SiO2,0.5000,750.0000,7.7600,5.0000,6.7000,0.1900,177.0000,693.0000,5.0000,12.3000,1.1200,48000.0000,62.0000,66.4000,0.8100,2021-56
NiSm/SiO2,0.5000,750.0000,7.7300,5.0000,6.7000,0.2700,141.0000,613.0000,8.1000,12.8000,1.1700,48000.0000,49.9000,48.6000,0.7900,2021-56
NiGd/SiO2,0.5000,750.0000,7.2300,5.0000,6.6000,0.2700,140.0000,665.0000,7.5000,8.2000,1.2000,48000.0000,52.0000,54.0000,0.7900,2021-56
Ni/SiO2,0.5000,750.0000,8.4700,5.0000,6.8000,0.3000,178.0000,698.0000,4.4000,12.6000,0.0000,48000.0000,56.4000,58.1000,0.8000,2021-56
NiLa/SiO2,0.5000,750.0000,7.9400,10.0000,8.3000,0.3200,138.0000,685.0000,4.5000,13.1000,1.1000,48000.0000,58.2000,66.0000,0.7950,2021-56
NiCe/SiO2,0.5000,750.0000,7.7600,10.0000,6.7000,0.1900,177.0000,693.0000,5.0000,12.3000,1.1200,48000.0000,61.1000,66.4000,0.8100,2021-56
NiSm/SiO2,0.5000,750.0000,7.7300,10.0000,6.7000,0.2700,141.0000,613.0000,8.1000,12.8000,1.1700,48000.0000,35.4000,39.3000,0.7800,2021-56
NiGd/SiO2,0.5000,750.0000,7.2300,10.0000,6.6000,0.2700,140.0000,665.0000,7.5000,8.2000,1.2000,48000.0000,42.9000,33.5000,0.7900,2021-56
Ni/SiO2,0.5000,750.0000,8.4700,10.0000,6.8000,0.3000,178.0000,698.0000,4.4000,12.6000,0.0000,48000.0000,52.2000,58.1000,0.8100,2021-56
Ni10/ SBC240,0.4000,850.0000,10.0000,72.0000,15.8000,0.2900,335.0000,633.0000,4.2300,22.9300,0.0000,12000.0000,85.4000,91.5000,0.8900,2021-59
Ni10/ SBC240,0.4000,850.0000,10.0000,40.0000,15.8000,0.2900,335.0000,633.0000,4.2300,22.9300,0.0000,12000.0000,84.6000,92.8000,0.9000,2021-59
5Ni/10CeO2-SBA-15-CTA,0.3000,700.0000,5.7000,20.0000,5.9100,0.7500,540.2000,295.0000,11.8000,,1.1200,20000.0000,74.3000,76.8000,0.9000,2021-60
5Ni/15CeO2-SBA-15-CTA,0.3000,700.0000,5.3000,20.0000,5.6800,0.6700,500.9000,464.0000,11.5000,,1.1200,20000.0000,72.4000,77.5000,0.9100,2021-60
5Ni/10CeO2-SBA-15-CTA,0.3000,700.0000,5.7000,40.0000,5.9100,0.7500,540.2000,295.0000,11.8000,,1.1200,20000.0000,71.1000,76.6000,0.9000,2021-60
5Ni/15CeO2-SBA-15-CTA,0.3000,700.0000,5.3000,40.0000,5.6800,0.6700,500.9000,464.0000,11.5000,,1.1200,20000.0000,73.0000,77.2000,0.9000,2021-60
5Ni/10CeO2-SBA-15-CTA,0.3000,700.0000,5.7000,60.0000,5.9100,0.7500,540.2000,295.0000,11.8000,,1.1200,20000.0000,68.4000,75.5000,0.8900,2021-60
5Ni/15CeO2-SBA-15-CTA,0.3000,700.0000,5.3000,60.0000,5.6800,0.6700,500.9000,464.0000,11.5000,,1.1200,20000.0000,70.9000,76.9000,0.9000,2021-60
5Ni/10CeO2-SBA-15-CTA,0.3000,700.0000,5.7000,80.0000,5.9100,0.7500,540.2000,295.0000,11.8000,,1.1200,20000.0000,66.8000,74.5000,0.8900,2021-60
5Ni/15CeO2-SBA-15-CTA,0.3000,700.0000,5.3000,80.0000,5.6800,0.6700,500.9000,464.0000,11.5000,,1.1200,20000.0000,71.2000,77.0000,0.9000,2021-60
NP(1.5)/SBA-15(N) ,0.2500,800.0000,0.6100,10.0000,5.3000,0.9000,672.0000,687.0000,9.6000,,0.0000,39000.0000,59.6000,69.3000,0.8100,2021-63
NP(1.5)/SBA-15(A) ,0.2500,800.0000,1.2000,10.0000,5.3000,0.8500,643.0000,690.0000,9.2000,,0.0000,39000.0000,59.6000,71.7000,0.8000,2021-63
NP(1.5)/SBA-15,0.2500,800.0000,1.2000,10.0000,5.5000,0.8300,621.0000,695.0000,7.7000,,0.0000,39000.0000,91.1000,95.1000,0.9350,2021-63
NP(1.5)/SBA-15(N) ,0.2500,800.0000,0.6100,20.0000,5.3000,0.9000,672.0000,687.0000,9.6000,,0.0000,39000.0000,47.4000,60.5000,0.7700,2021-63
NP(1.5)/SBA-15(A) ,0.2500,800.0000,1.2000,20.0000,5.3000,0.8500,643.0000,690.0000,9.2000,,0.0000,39000.0000,47.7000,63.4000,0.7200,2021-63
NP(1.5)/SBA-15,0.2500,800.0000,1.2000,20.0000,5.5000,0.8300,621.0000,695.0000,7.7000,,0.0000,39000.0000,88.6000,93.2000,0.9300,2021-63
NP(10)/SBA-15,0.2500,800.0000,7.2000,20.0000,5.4000,0.8000,597.0000,705.0000,8.1000,,0.0000,200000.0000,73.2000,82.1000,0.8700,2021-63
NP(15)/SBA-15,0.2500,800.0000,13.8000,20.0000,5.3000,0.7200,515.0000,732.0000,15.6000,,0.0000,200000.0000,41.5000,49.8000,0.7900,2021-63
NP(10)/SBA-15,0.2500,800.0000,7.2000,40.0000,5.4000,0.8000,597.0000,705.0000,8.1000,,0.0000,200000.0000,70.7000,85.6000,0.8700,2021-63
NP(15)/SBA-15,0.2500,800.0000,13.8000,40.0000,5.3000,0.7200,515.0000,732.0000,15.6000,,0.0000,200000.0000,27.8000,37.3000,0.7310,2021-63
NP(10)/SBA-15,0.2500,800.0000,7.2000,100.0000,5.4000,0.8000,597.0000,705.0000,8.1000,,0.0000,150000.0000,73.5000,83.1000,0.8700,2021-63
Ni/M-Al2O3-500,0.2500,700.0000,5.0000,10.0000,6.5000,0.4800,136.0000,716.0000,5.5000,,0.0000,120000.0000,71.5000,80.0000,0.8300,2021-67
Ni/M-Al2O3-700,0.2500,700.0000,5.0000,10.0000,7.8000,0.4800,128.7000,749.0000,4.8000,,0.0000,120000.0000,76.7000,86.0000,0.8500,2021-67
Ni/C-Al2O3-700,0.2500,700.0000,5.0000,10.0000,7.0000,0.2200,75.4000,760.0000,16.2000,,0.0000,120000.0000,39.4000,50.0000,0.7700,2021-67
Ni/M-Al2O3-500,0.2500,700.0000,5.0000,20.0000,6.5000,0.4800,136.0000,716.0000,5.5000,,0.0000,120000.0000,70.8000,80.7000,0.8300,2021-67
Ni/M-Al2O3-700,0.2500,700.0000,5.0000,20.0000,7.8000,0.4800,128.7000,749.0000,4.8000,,0.0000,120000.0000,75.4000,83.8000,0.8500,2021-67
Ni/C-Al2O3-700,0.2500,700.0000,5.0000,20.0000,7.0000,0.2200,75.4000,760.0000,16.2000,,0.0000,120000.0000,35.2000,44.7000,0.7800,2021-67
Ni/F-SBA-15,0.5000,800.0000,5.0000,20.0000,7.0000,0.1900,120.0000,460.0000,7.5000,,0.0000,15000.0000,86.0000,84.4000,1.2760,2021-69
Ni/DFSBA-15,0.5000,800.0000,5.0000,20.0000,5.4200,0.1200,86.0000,565.0000,6.0000,,0.0000,15000.0000,86.8000,84.3700,0.8400,2021-69
Ni/F-SBA-15,0.5000,800.0000,5.0000,40.0000,7.0000,0.1900,120.0000,460.0000,7.5000,,0.0000,15000.0000,65.7000,62.4000,1.2840,2021-69
Ni/DFSBA-15,0.5000,800.0000,5.0000,40.0000,5.4200,0.1200,86.0000,565.0000,6.0000,,0.0000,15000.0000,85.5000,83.0000,0.8400,2021-69
NiO−ZrO2,0.1000,550.0000,5.6000,8.0000,3.0000,0.1800,113.0000,654.5000,7.5000,,0.0000,48000.0000,39.1000,36.7000,0.9780,2021-70
NiO−10Al2O3−ZrO2,0.1000,550.0000,5.8000,8.0000,6.0000,0.2500,86.0000,682.5000,7.5000,,1.6100,48000.0000,60.9000,60.0000,0.8760,2021-70
NiO−ZrO2,0.1000,700.0000,5.6000,8.0000,3.0000,0.1800,113.0000,654.5000,7.5000,,0.0000,48000.0000,87.8000,92.3000,0.9500,2021-70
NiO−10Al2O3−ZrO2,0.1000,700.0000,5.8000,8.0000,6.0000,0.2500,86.0000,682.5000,7.5000,,1.6100,48000.0000,92.3000,92.2000,0.9500,2021-70
Ni/Al2O3,0.2500,800.0000,12.5000,96.0000,21.8000,0.3500,55.5000,650.0000,13.8000,,0.0000,36000.0000,85.6000,95.2000,0.8800,2021-74
1.0 K-Ni/ Al2O3,0.2500,800.0000,12.5000,96.0000,22.6000,0.3500,56.1000,650.0000,12.6000,,0.8200,36000.0000,87.2000,96.7000,0.9600,2021-74
Ni0.01Al1O2-δ,0.1500,800.0000,1.1000,40.0000,3.3000,0.1200,109.6000,796.2000,2.5000,13.0000,0.0000,108000.0000,88.6000,91.8000,0.9500,2021-75
Ni0.025Al1O2-δ ,0.1500,800.0000,2.3000,20.0000,3.6000,0.1100,105.2000,795.7000,6.5000,12.2000,0.0000,108000.0000,91.4000,97.1000,0.8740,2021-75
Ni0.025Al1O2-δ ,0.1500,800.0000,2.3000,40.0000,3.6000,0.1100,105.2000,795.7000,6.5000,12.2000,0.0000,108000.0000,90.9000,98.2000,0.8800,2021-75
Ni0.05Al1O2-δ,0.1500,800.0000,4.5000,20.0000,3.3000,0.1300,111.6000,796.4000,11.5000,10.1000,0.0000,108000.0000,92.5000,97.9000,0.9100,2021-75
Ni0.05Al1O2-δ,0.1500,800.0000,4.5000,40.0000,3.3000,0.1300,111.6000,796.4000,11.5000,10.1000,0.0000,108000.0000,92.5000,97.9000,0.9280,2021-75
Ni0.1Al1O2-δ,0.1500,800.0000,8.8000,20.0000,3.8000,0.1200,92.9000,793.9000,14.6000,9.4000,0.0000,108000.0000,92.3000,97.6000,0.9070,2021-75
Ni0.1Al1O2-δ,0.1500,800.0000,8.8000,40.0000,3.8000,0.1200,92.9000,793.9000,14.6000,9.4000,0.0000,108000.0000,91.4000,97.6000,0.9070,2021-75
Ni0.2Al1O2-δ,0.1500,800.0000,16.2000,20.0000,4.8000,0.1100,65.2000,794.4000,19.5000,7.3000,0.0000,108000.0000,94.2000,97.0000,0.9510,2021-75
Ni0.2Al1O2-δ,0.1500,800.0000,16.2000,40.0000,4.8000,0.1100,65.2000,794.4000,19.5000,7.3000,0.0000,108000.0000,92.6000,96.3000,0.9600,2021-75
Ni0.025Al1O2-δ ,0.1500,650.0000,2.3000,50.0000,3.6000,0.1100,105.2000,795.7000,6.5000,12.2000,0.0000,36000.0000,68.9000,81.9700,0.8820,2021-75
