Catalyst,Ratio of CH4 in Feed,Reaction Temperature,Ni Loading,Reaction Time,Pore Size,Pore Volume,Surface Area,H2-TPR Peak Temperature,Ni Particle Size,Ni Dispersion,Modifier Electronegativity,GHSV,CH4 Conversion,CO2 Conversion,Syngas_Ratio,Paper no.
HT,0.1000,650.0000,20.0000,0.5000,21.0000,0.4000,68.0000,829.0000,9.0000,8.9000,0.0000,20000.0000,45.4000,56.6000,0.8000,2019-145
HT Ce,0.1000,650.0000,25.0000,0.5000,14.0000,0.2000,45.0000,876.0000,7.0000,11.5000,1.1200,20000.0000,60.0000,66.1000,0.8300,2019-145
HT Ce/Y0.2,0.1000,650.0000,23.0000,0.5000,28.0000,0.7000,99.0000,873.0000,7.0000,10.2000,1.1400,20000.0000,61.2000,67.9000,0.8400,2019-145
HT Ce/Y0.4,0.1000,650.0000,23.0000,0.5000,27.0000,0.6000,91.0000,864.0000,7.0000,11.6000,1.1500,20000.0000,61.7000,68.4000,0.8500,2019-145
HT Ce/Y0.6,0.1000,650.0000,20.0000,0.5000,26.0000,0.7000,99.0000,895.0000,8.0000,11.5000,1.1600,20000.0000,49.9000,54.2000,0.7900,2019-145
HT,0.1000,700.0000,20.0000,0.5000,21.0000,0.4000,68.0000,829.0000,9.0000,8.9000,0.0000,20000.0000,66.0000,76.0000,0.8700,2019-145
HT Ce,0.1000,700.0000,25.0000,0.5000,14.0000,0.2000,45.0000,876.0000,7.0000,11.5000,1.1200,20000.0000,75.7000,81.0000,0.8900,2019-145
HT Ce/Y0.2,0.1000,700.0000,23.0000,0.5000,28.0000,0.7000,99.0000,873.0000,7.0000,10.2000,1.1400,20000.0000,76.1000,81.4000,0.8900,2019-145
HT Ce/Y0.4,0.1000,700.0000,23.0000,0.5000,27.0000,0.6000,91.0000,864.0000,7.0000,11.6000,1.1500,20000.0000,76.1000,81.5000,0.8900,2019-145
HT Ce/Y0.6,0.1000,700.0000,20.0000,0.5000,26.0000,0.7000,99.0000,895.0000,8.0000,11.5000,1.1600,20000.0000,65.0000,76.1000,0.8400,2019-145
HT,0.1000,750.0000,20.0000,0.5000,21.0000,0.4000,68.0000,829.0000,9.0000,8.9000,0.0000,20000.0000,82.5000,86.5000,0.9300,2019-145
HT Ce,0.1000,750.0000,25.0000,0.5000,14.0000,0.2000,45.0000,876.0000,7.0000,11.5000,1.1200,20000.0000,86.9000,91.9000,0.9200,2019-145
HT Ce/Y0.2,0.1000,750.0000,23.0000,0.5000,28.0000,0.7000,99.0000,873.0000,7.0000,10.2000,1.1400,20000.0000,86.8000,90.1000,0.9200,2019-145
HT Ce/Y0.4,0.1000,750.0000,23.0000,0.5000,27.0000,0.6000,91.0000,864.0000,7.0000,11.6000,1.1500,20000.0000,86.8000,91.8000,0.9300,2019-145
HT Ce/Y0.6,0.1000,750.0000,20.0000,0.5000,26.0000,0.7000,99.0000,895.0000,8.0000,11.5000,1.1600,20000.0000,78.4000,82.3000,0.8900,2019-145
HT,0.1000,800.0000,20.0000,0.5000,21.0000,0.4000,68.0000,829.0000,9.0000,8.9000,0.0000,20000.0000,93.9300,93.0000,0.9700,2019-145
HT Ce,0.1000,800.0000,25.0000,0.5000,14.0000,0.2000,45.0000,876.0000,7.0000,11.5000,1.1200,20000.0000,93.2000,94.8000,0.9400,2019-145
HT Ce/Y0.2,0.1000,800.0000,23.0000,0.5000,28.0000,0.7000,99.0000,873.0000,7.0000,10.2000,1.1400,20000.0000,92.9000,94.7000,0.9500,2019-145
HT Ce/Y0.4,0.1000,800.0000,23.0000,0.5000,27.0000,0.6000,91.0000,864.0000,7.0000,11.6000,1.1500,20000.0000,93.1000,95.1000,0.9500,2019-145
HT Ce/Y0.6,0.1000,800.0000,20.0000,0.5000,26.0000,0.7000,99.0000,895.0000,8.0000,11.5000,1.1600,20000.0000,87.9000,90.1000,0.9200,2019-149
HT,0.1000,850.0000,20.0000,0.5000,21.0000,0.4000,68.0000,829.0000,9.0000,8.9000,0.0000,20000.0000,98.2000,96.8000,0.9900,2019-145
HT Ce,0.1000,850.0000,25.0000,0.5000,14.0000,0.2000,45.0000,876.0000,7.0000,11.5000,1.1200,20000.0000,96.5000,97.5000,0.9600,2019-145
HT Ce/Y0.2,0.1000,850.0000,23.0000,0.5000,28.0000,0.7000,99.0000,873.0000,7.0000,10.2000,1.1400,20000.0000,96.2000,97.4000,0.9600,2019-145
HT Ce/Y0.4,0.1000,850.0000,23.0000,0.5000,27.0000,0.6000,91.0000,864.0000,7.0000,11.6000,1.1500,20000.0000,96.2000,98.4000,0.9700,2019-145
HT Ce/Y0.6,0.1000,850.0000,20.0000,0.5000,26.0000,0.7000,99.0000,895.0000,8.0000,11.5000,1.1600,20000.0000,93.2000,95.4000,0.9500,2019-145
HT,0.1000,700.0000,20.0000,5.0000,21.0000,0.4000,68.0000,829.0000,9.0000,8.9000,0.0000,20000.0000,72.3800,75.1400,0.9000,2019-145
HT Ce,0.1000,700.0000,25.0000,5.0000,14.0000,0.2000,45.0000,876.0000,7.0000,11.5000,1.1200,20000.0000,86.0800,88.5400,0.9600,2019-145
HT Ce/Y0.2,0.1000,700.0000,23.0000,5.0000,28.0000,0.7000,99.0000,873.0000,7.0000,10.2000,1.1400,20000.0000,84.7500,86.8100,0.9600,2019-145
HT Ce/Y0.4,0.1000,700.0000,23.0000,5.0000,27.0000,0.6000,91.0000,864.0000,7.0000,11.6000,1.1500,20000.0000,81.4400,84.0000,0.9400,2019-145
Ni-La/Fe-clay,0.1000,750.0000,15.0000,5.0000,28.0000,0.1000,13.0000,432.0000,9.8000,,1.1000,20000.0000,46.2900,55.6000,0.6900,2019-149
Ni-Al/Fe-clay,0.1000,750.0000,15.0000,5.0000,7.0000,0.1100,63.0000,381.0000,9.2000,,1.6100,20000.0000,52.8400,61.2100,0.7600,2019-149
NiCo/mesoporousAl,0.2500,750.0000,4.5000,15.0000,10.3000,0.2940,113.0000,545.0000,20.5000,,1.8800,52000.0000,27.5000,41.0000,0.8700,2020-5
NiRh/mesoAl,0.2500,750.0000,4.5000,15.0000,14.9000,0.3150,72.0000,402.0000,36.7000,,2.2800,52000.0000,54.0000,71.7000,0.9700,2020-5
Ni/SBA15,0.5000,650.0000,4.7800,3.0000,6.0800,0.2730,232.6000,370.0000,18.3000,,0.0000,30000.0000,88.2000,76.3000,1.0300,2020-18
Ni/SBA15,0.5000,750.0000,5.0000,50.0000,5.2000,0.2300,117.0000,510.0000,18.2000,,0.0000,22500.0000,84.8000,90.2000,0.9400,2020-18
Ni/CeAl,0.4000,750.0000,20.0000,30.0000,24.6000,0.4460,65.0000,700.0000,5.7000,,0.0000,60000.0000,81.0000,56.0000,0.9800,2020-35
Ni/CemesoAl,0.4000,750.0000,20.0000,30.0000,9.3000,0.2630,104.0000,700.0000,2.3000,,0.0000,60000.0000,83.0000,66.0000,1.0000,2020-35
Ni/CeZr,0.3500,700.0000,2.0800,13.3330,8.2900,0.1090,66.2000,233.0000,0.5400,9.3000,0.0000,19700.0000,4.0000,5.0000,0.4300,2020-47
Ni/CeZr,0.3500,700.0000,2.1100,13.3330,7.8800,0.1080,67.4000,230.0000,0.6500,16.2000,0.0000,19700.0000,8.0000,18.0000,0.4900,2020-47
Ni/CeZr,0.3500,700.0000,2.2300,13.3330,4.0700,0.0490,73.5000,315.0000,0.4000,4.3700,0.0000,19700.0000,6.0000,8.0000,0.3800,2020-47
Ni/CeZr,0.3500,700.0000,3.6200,13.3330,3.7200,0.0520,77.3000,264.0000,0.5400,8.3200,0.0000,19700.0000,12.5000,20.0000,0.6000,2020-47
Ni/CeZr,0.3500,700.0000,5.9500,13.3330,3.4300,0.0470,83.3000,251.0000,7.0000,6.8500,0.0000,19700.0000,10.0000,16.0000,0.5900,2020-47
Ni/CeZr,0.3500,700.0000,9.7700,13.3330,4.5200,0.0370,28.2000,273.0000,7.0000,0.7700,0.0000,19700.0000,15.0000,24.0000,0.4900,2020-47
Ni/CeZr,0.3500,700.0000,2.0600,13.3330,5.1700,0.1080,54.7000,217.0000,0.4000,15.3000,0.0000,19700.0000,2.0000,4.0000,0.3900,2020-47
Ni/CeZr,0.3500,700.0000,4.3000,13.3330,5.4500,0.0810,37.8000,274.0000,0.4000,7.5500,0.0000,19700.0000,2.0000,2.0000,0.6400,2020-47
Ni/CeZr,0.3500,700.0000,6.5500,13.3330,5.3600,0.0870,43.5000,253.0000,0.4600,5.8400,0.0000,19700.0000,4.0000,4.0000,0.5700,2020-47
Ni/CeZr,0.3500,700.0000,9.7400,13.3330,5.3300,0.0600,38.7000,252.0000,0.6800,2.1200,0.0000,19700.0000,4.0000,5.0000,0.6000,2020-47
Ni/CaAl,0.5000,500.0000,10.0000,1.0000,11.1400,0.2100,76.0800,337.8000,11.5000,8.4000,0.0000,9000.0000,21.0000,20.0000,,2020-51
Ni/CaAl,0.5000,550.0000,10.0000,1.0000,11.1400,0.2100,76.0800,337.8000,11.5000,8.4000,0.0000,9000.0000,29.0000,30.0000,,2020-51
Ni/CaAl,0.5000,600.0000,10.0000,1.0000,11.1400,0.2100,76.0800,337.8000,11.5000,8.4000,0.0000,9000.0000,43.0000,42.0000,,2020-51
Ni/CaAl,0.5000,650.0000,10.0000,1.0000,11.1400,0.2100,76.0800,337.8000,11.5000,8.4000,0.0000,9000.0000,56.0000,60.0000,,2020-51
Ni/CaAl,0.5000,700.0000,10.0000,1.0000,11.1400,0.2100,76.0800,337.8000,11.5000,8.4000,0.0000,9000.0000,57.0000,62.0000,,2020-51
Ni/CaAl,0.5000,700.0000,10.0000,30.0000,11.1400,0.2100,76.0800,337.8000,11.5000,8.4000,0.0000,9000.0000,50.0000,55.0000,,2020-51
NiCe/CaAl,0.5000,500.0000,10.0000,1.0000,13.2100,0.2900,90.6700,543.4000,8.9000,10.9000,1.1000,9000.0000,24.0000,33.0000,,2020-51
NiCe/CaAl,0.5000,550.0000,10.0000,1.0000,13.2100,0.2900,90.6700,543.4000,8.9000,10.9000,1.1000,9000.0000,40.0000,54.0000,,2020-51
NiCe/CaAl,0.5000,600.0000,10.0000,1.0000,13.2100,0.2900,90.6700,543.4000,8.9000,10.9000,1.1000,9000.0000,52.0000,62.0000,,2020-51
NiCe/CaAl,0.5000,650.0000,10.0000,1.0000,13.2100,0.2900,90.6700,543.4000,8.9000,10.9000,1.1000,9000.0000,75.0000,78.0000,,2020-51
NiCe/CaAl,0.5000,700.0000,10.0000,1.0000,13.2100,0.2900,90.6700,543.4000,8.9000,10.9000,1.1000,9000.0000,86.0000,89.0000,,2020-51
NiCe/CaAl,0.5000,700.0000,10.0000,30.0000,13.2100,0.2900,90.6700,543.4000,8.9000,10.9000,1.1000,9000.0000,80.0000,83.0000,,2020-51
NiCe/CaAl,0.5000,700.0000,10.0000,1.0000,13.2100,0.2900,90.6700,543.4000,8.9000,10.9000,1.1000,12000.0000,81.0000,82.0000,,2020-51
NiCe/CaAl,0.5000,700.0000,10.0000,1.0000,13.2100,0.2900,90.6700,543.4000,8.9000,10.9000,1.1000,15000.0000,72.0000,78.0000,,2020-51
NiCe/CaAl,0.5000,700.0000,10.0000,1.0000,13.2100,0.2900,90.6700,543.4000,8.9000,10.9000,1.1000,18000.0000,60.0000,66.0000,,2020-51
NiCe/CaAl,0.5000,700.0000,10.0000,1.0000,13.2100,0.2900,90.6700,543.4000,8.9000,10.9000,1.1000,21000.0000,45.0000,60.0000,,2020-51
NiLa/CaAl,0.5000,500.0000,10.0000,1.0000,14.3000,0.2800,80.5000,743.7000,12.8000,7.5000,1.1000,9000.0000,15.0000,22.0000,,2020-51
NiLa/CaAl,0.5000,550.0000,10.0000,1.0000,14.3000,0.2800,80.5000,743.7000,12.8000,7.5000,1.1000,9000.0000,21.0000,32.0000,,2020-51
NiLa/CaAl,0.5000,600.0000,10.0000,1.0000,14.3000,0.2800,80.5000,743.7000,12.8000,7.5000,1.1000,9000.0000,32.0000,43.0000,,2020-51
NiLa/CaAl,0.5000,650.0000,10.0000,1.0000,14.3000,0.2800,80.5000,743.7000,12.8000,7.5000,1.1000,9000.0000,58.0000,59.0000,,2020-51
NiLa/CaAl,0.5000,700.0000,10.0000,1.0000,14.3000,0.2800,80.5000,743.7000,12.8000,7.5000,1.1000,9000.0000,67.5000,70.0000,,2020-51
NiY/CaAl,0.5000,500.0000,10.0000,1.0000,13.8600,0.2800,82.2000,554.2000,10.2000,9.5000,1.2000,9000.0000,21.0000,23.0000,,2020-51
NiY/CaAl,0.5000,550.0000,10.0000,1.0000,13.8600,0.2800,82.2000,554.2000,10.2000,9.5000,1.2000,9000.0000,30.0000,41.0000,,2020-51
NiY/CaAl,0.5000,600.0000,10.0000,1.0000,13.8600,0.2800,82.2000,554.2000,10.2000,9.5000,1.2000,9000.0000,45.0000,60.0000,,2020-51
NiY/CaAl,0.5000,650.0000,10.0000,1.0000,13.8600,0.2800,82.2000,554.2000,10.2000,9.5000,1.2000,9000.0000,60.0000,66.0000,,2020-51
NiY/CaAl,0.5000,700.0000,10.0000,1.0000,13.8600,0.2800,82.2000,554.2000,10.2000,9.5000,1.2000,9000.0000,66.0000,70.0000,,2020-51
NiMg/Si,0.5000,750.0000,4.0000,8.0000,2.2000,0.0000,210.6000,510.0000,8.8000,11.5000,1.3000,36000.0000,83.6000,89.9000,0.9200,2020-53
NiMg/Si,0.5000,750.0000,4.0000,100.0000,2.2000,0.0000,210.6000,510.0000,8.8000,11.5000,1.3000,36000.0000,78.8000,84.3000,0.8600,2020-53
Ni/Si,0.5000,750.0000,4.0000,8.0000,2.4000,0.0000,184.5000,400.0000,8.9000,11.4000,0.0000,36000.0000,72.8000,80.1000,0.8200,2020-53
NiMg/Si,0.5000,750.0000,4.0000,8.0000,2.3000,0.0000,148.9000,500.0000,10.5000,9.6000,1.3000,36000.0000,71.3000,78.1000,0.8100,2020-53
Ni/Si,0.5000,750.0000,4.0000,8.0000,3.4000,0.0000,108.9000,360.0000,10.6000,9.5000,0.0000,36000.0000,30.7000,37.4000,0.3900,2020-53
NiMg/Si,0.5000,750.0000,4.0000,8.0000,3.4000,0.0000,88.1000,380.0000,15.9000,6.7000,1.3000,36000.0000,41.0000,51.0000,0.5500,2020-53
Ni/Si,0.4500,600.0000,9.9400,1.0000,4.5000,0.7400,372.0000,350.0000,16.9000,5.7000,0.0000,36000.0000,37.9000,40.0000,0.7500,2020-55
Ni/Si,0.4500,650.0000,9.9400,1.0000,4.5000,0.7400,372.0000,350.0000,16.9000,5.7000,0.0000,36000.0000,43.0000,52.2000,0.7700,2020-55
Ni/Si,0.4500,700.0000,9.9400,1.0000,4.5000,0.7400,372.0000,350.0000,16.9000,5.7000,0.0000,36000.0000,49.9000,60.9000,0.8100,2020-55
Ni/Si,0.4500,750.0000,9.9400,1.0000,4.5000,0.7400,372.0000,350.0000,16.9000,5.7000,0.0000,36000.0000,63.7000,73.5000,0.8600,2020-55
Ni/Si,0.4500,800.0000,9.9400,1.0000,4.5000,0.7400,372.0000,350.0000,16.9000,5.7000,0.0000,36000.0000,84.5000,87.8000,0.9100,2020-55
Ni/Si,0.4500,700.0000,9.9400,30.0000,4.5000,0.7400,372.0000,350.0000,16.9000,5.7000,0.0000,36000.0000,43.2000,56.6000,0.7400,2020-55
Ni/Si,0.4500,600.0000,10.5900,1.0000,5.2000,0.4200,207.0000,400.0000,3.8000,25.5000,0.0000,36000.0000,40.6000,53.6000,0.7600,2020-55
Ni/Si,0.4500,650.0000,10.5900,1.0000,5.2000,0.4200,207.0000,400.0000,3.8000,25.5000,0.0000,36000.0000,60.4000,68.7000,0.8200,2020-55
Ni/Si,0.4500,700.0000,10.5900,1.0000,5.2000,0.4200,207.0000,400.0000,3.8000,25.5000,0.0000,36000.0000,75.1000,81.2000,0.8700,2020-55
Ni/Si,0.4500,750.0000,10.5900,1.0000,5.2000,0.4200,207.0000,400.0000,3.8000,25.5000,0.0000,36000.0000,86.1000,89.0000,0.9100,2020-55
Ni/Si,0.4500,800.0000,10.5900,1.0000,5.2000,0.4200,207.0000,400.0000,3.8000,25.5000,0.0000,36000.0000,92.7000,93.4000,0.9300,2020-55
Ni/Si,0.4500,700.0000,10.5900,30.0000,5.2000,0.4200,207.0000,400.0000,3.8000,25.5000,0.0000,36000.0000,75.0000,81.0000,0.8400,2020-55
Ni/Si,0.3300,600.0000,4.9100,24.0000,4.4000,0.6800,593.2000,585.0000,3.3000,27.5000,0.0000,60000.0000,35.0000,38.0000,0.8200,2020-67
Ni/Si,0.3300,600.0000,4.2800,24.0000,4.7000,0.4500,481.9000,400.0000,2.1000,47.8000,0.0000,60000.0000,35.0000,38.0000,0.7700,2020-67
Ni/Si,0.3300,600.0000,5.0300,24.0000,5.2000,0.7400,540.2000,605.0000,2.3000,32.1000,0.0000,60000.0000,50.0000,50.0000,0.9500,2020-67
Ni/Si,0.3300,750.0000,5.0300,100.0000,5.2000,0.7400,540.2000,605.0000,2.3000,32.1000,0.0000,60000.0000,90.0000,85.0000,1.2500,2020-67
Ni/Si,0.3300,600.0000,5.0300,100.0000,5.2000,0.7400,540.2000,605.0000,2.3000,32.1000,0.0000,60000.0000,49.0000,50.0000,1.0000,2020-67
NiAl/La perovskite,0.2500,800.0000,16.0000,36.0000,7.1000,0.4000,182.1000,400.0000,11.0000,,1.6000,96000.0000,76.0000,80.0000,0.8200,2020-69
NiAl/La perovskite,0.2500,800.0000,16.8000,36.0000,5.2000,0.2900,182.0000,390.0000,12.7000,,1.6000,96000.0000,60.5000,62.5000,0.7200,2020-69
NiAl/La perovskite,0.2500,800.0000,18.5000,36.0000,5.2000,0.2900,3.0000,320.0000,20.3000,,1.6000,96000.0000,51.0000,59.0000,0.7500,2020-69
Ni @ SiCe,0.3000,600.0000,1.3500,1.0000,14.9000,0.4700,128.0000,745.0000,4.0000,12.3000,0.0000,60000.0000,41.0000,54.0000,0.6000,2020-72
Ni @ SiCe,0.3000,600.0000,1.4000,1.0000,17.1000,0.3500,84.0000,730.0000,4.0000,12.3000,0.0000,60000.0000,33.0000,46.0000,0.5000,2020-72
Ni @ SiCe,0.3000,600.0000,1.3500,30.0000,14.9000,0.4700,128.0000,745.0000,4.0000,12.3000,0.0000,150000.0000,23.0000,30.0000,0.6000,2020-72
Ni @ SiCe,0.3000,600.0000,1.4000,30.0000,17.1000,0.3500,84.0000,730.0000,4.0000,12.3000,0.0000,150000.0000,20.0000,22.5000,0.4000,2020-72
Ni/SBA15,0.3300,800.0000,3.0000,24.0000,5.1800,0.2500,212.0000,670.0000,17.5800,,0.0000,22500.0000,85.0000,77.0000,0.8500,2020-85
Ni/SBA15,0.3300,800.0000,3.0000,24.0000,4.4000,0.2300,242.0000,670.0000,38.0000,,0.0000,22500.0000,42.0000,50.0000,0.6100,2020-85
Ni/SBA15,0.3300,800.0000,3.0000,24.0000,4.8000,0.2600,174.0000,670.0000,21.8100,,0.0000,22500.0000,72.0000,72.0000,0.7800,2020-85
Ni/SBA15,0.3300,800.0000,3.0000,24.0000,5.2900,0.2700,243.0000,670.0000,10.0200,,0.0000,22500.0000,90.0000,79.0000,0.8900,2020-85
Ni/SBA15,0.5000,800.0000,5.0000,30.0000,8.5700,0.8900,407.0000,692.0000,13.6000,,0.0000,15000.0000,78.0000,65.7000,1.2200,2020-87
Ni/SBA15,0.5000,800.0000,5.0000,30.0000,5.4200,0.1100,86.0000,663.0000,7.1000,,0.0000,15000.0000,86.3000,86.0000,0.8500,2020-87
Ni/Zr,0.5000,700.0000,10.5700,10.0000,10.7000,0.0700,27.0000,440.0000,14.2000,4.6200,0.0000,50000.0000,13.0000,22.0000,0.6000,2020-89
Ni/Zr,0.5000,700.0000,8.9900,10.0000,5.7400,0.2800,193.0000,550.0000,10.4000,6.6400,0.0000,50000.0000,40.0000,50.0000,0.8000,2020-89
Ni/Zr,0.5000,700.0000,8.3600,10.0000,7.1400,0.4200,237.0000,550.0000,9.4000,8.9200,0.0000,50000.0000,65.0000,75.0000,0.8500,2020-89
Ni/Zr,0.5000,700.0000,7.0600,10.0000,12.9200,0.6900,199.0000,550.0000,8.4000,10.8700,0.0000,50000.0000,72.0000,82.0000,0.9000,2020-89
Ni/Zr,0.5000,700.0000,7.0400,10.0000,13.8800,0.6300,197.0000,550.0000,10.4000,8.1000,0.0000,50000.0000,62.0000,68.0000,0.8200,2020-89
Ni/Si,0.5000,750.0000,10.0000,20.0000,8.9000,0.6000,236.9000,370.0000,16.5400,3.8300,0.0000,60000.0000,56.0000,59.0000,0.5000,2020-95
Ni/Si,0.5000,750.0000,10.0000,20.0000,9.1000,0.5700,248.1000,570.0000,11.5800,8.0000,0.0000,60000.0000,82.0000,87.0000,0.9000,2020-95
Ni/Si,0.5000,750.0000,10.0000,20.0000,8.8000,0.5600,256.6000,570.0000,10.0100,8.6400,0.0000,60000.0000,82.0000,87.0000,0.9000,2020-95
Ni/CeZr,0.0500,700.0000,5.0000,3.0000,9.8000,0.0500,29.0000,350.0000,10.0000,,0.0000,27000.0000,60.0000,,0.8000,2020-98
Ni/CeZr,0.0500,700.0000,5.0000,3.0000,16.9000,0.0500,25.0000,300.0000,14.0000,,0.0000,27000.0000,70.0000,,0.8200,2020-98
Ni/CeZr,0.0500,700.0000,5.0000,3.0000,8.9000,0.0600,36.0000,275.0000,14.0000,,0.0000,27000.0000,65.0000,,0.8500,2020-98
Ni/Zr,0.1000,750.0000,10.0000,5.0000,2.0000,0.1900,72.0000,404.0000,20.0000,1.3000,0.0000,24000.0000,50.0000,56.0000,0.7500,2020-102
Ni/Zr,0.1000,750.0000,5.0000,5.0000,2.0000,0.1700,66.0000,625.0000,31.0000,3.2000,0.0000,24000.0000,30.0000,35.0000,0.4000,2020-102
Ni/Zr,0.1000,750.0000,10.0000,5.0000,2.0000,0.2000,113.0000,650.0000,11.0000,4.3000,0.0000,24000.0000,96.0000,96.7000,0.9500,2020-102
Ni/Zr,0.1000,750.0000,15.0000,5.0000,2.0000,0.1800,103.0000,675.0000,11.0000,2.6000,0.0000,24000.0000,96.0000,96.7000,0.9500,2020-102
Ni/Al,0.1500,650.0000,5.2000,50.0000,4.0000,0.2000,160.8000,620.0000,4.7000,,0.0000,240000.0000,33.0000,40.0000,0.9200,2020-128
Ni/LaAl,0.1500,650.0000,5.2000,50.0000,4.4000,0.1300,73.9000,400.0000,7.3000,,0.0000,240000.0000,30.0000,37.0000,0.8500,2020-128
Ni/LaAlC,0.1500,650.0000,5.4000,50.0000,4.2000,0.1200,85.4000,390.0000,9.1000,,0.0000,240000.0000,62.0000,69.0000,0.8500,2020-128
Ni @ Si,0.3000,550.0000,2.7000,1.0000,21.0000,0.7500,130.0000,565.0000,10.0000,,0.0000,30000.0000,22.0000,32.5000,0.6700,2020-162
Ni @ Si,0.3000,600.0000,2.7000,1.0000,21.0000,0.7500,130.0000,565.0000,10.0000,,0.0000,30000.0000,39.0000,51.0000,0.7700,2020-162
Ni @ Si,0.3000,650.0000,2.7000,1.0000,21.0000,0.7500,130.0000,565.0000,10.0000,,0.0000,30000.0000,57.5000,64.0000,0.8200,2020-162
Ni @ Si,0.3000,700.0000,2.7000,1.0000,21.0000,0.7500,130.0000,565.0000,10.0000,,0.0000,30000.0000,70.5000,75.0000,0.8500,2020-162
Ni @ Si,0.3000,750.0000,2.7000,1.0000,21.0000,0.7500,130.0000,565.0000,10.0000,,0.0000,30000.0000,81.0000,85.0000,0.8700,2020-162
Ni @ Si,0.3000,750.0000,2.7000,50.0000,21.0000,0.7500,130.0000,565.0000,10.0000,,0.0000,30000.0000,81.0000,85.0000,0.8700,2020-162
Ni @ Si @ CNF,0.3300,600.0000,5.0000,1.0000,8.5000,1.7000,1062.0000,554.0000,18.2000,,0.0000,36000.0000,37.0000,62.0000,0.6000,2020-166
Si @ Ni @ CNF,0.3300,600.0000,1.5000,1.0000,4.6000,1.0000,831.0000,650.0000,7.0000,,0.0000,36000.0000,33.0000,63.0000,0.5500,2020-166
Ni/Si @ CNF,0.3300,600.0000,3.2000,1.0000,6.2000,1.1000,778.0000,693.0000,6.7000,,0.0000,36000.0000,29.0000,59.5000,0.6100,2020-166
Ni @ Si @ CNF,0.3300,650.0000,5.0000,1.0000,8.5000,1.7000,1062.0000,554.0000,18.2000,,0.0000,36000.0000,45.0000,70.5000,0.6200,2020-166
Si @ Ni @ CNF,0.3300,650.0000,1.5000,1.0000,4.6000,1.0000,831.0000,650.0000,7.0000,,0.0000,36000.0000,36.0000,74.0000,0.6000,2020-166
Ni/Si @ CNF,0.3300,650.0000,3.2000,1.0000,6.2000,1.1000,778.0000,693.0000,6.7000,,0.0000,36000.0000,35.0000,65.5000,0.6200,2020-166
Ni @ Si @ CNF,0.3300,700.0000,5.0000,1.0000,8.5000,1.7000,1062.0000,554.0000,18.2000,,0.0000,36000.0000,52.0000,82.5000,0.8000,2020-166
Si @ Ni @ CNF,0.3300,700.0000,1.5000,1.0000,4.6000,1.0000,831.0000,650.0000,7.0000,,0.0000,36000.0000,43.5000,88.0000,0.7000,2020-166
Ni/Si @ CNF,0.3300,700.0000,3.2000,1.0000,6.2000,1.1000,778.0000,693.0000,6.7000,,0.0000,36000.0000,37.0000,76.0000,0.6500,2020-166
Ni @ Si @ CNF,0.3300,750.0000,5.0000,1.0000,8.5000,1.7000,1062.0000,554.0000,18.2000,,0.0000,36000.0000,61.0000,90.5000,0.8100,2020-166
Si @ Ni @ CNF,0.3300,750.0000,1.5000,1.0000,4.6000,1.0000,831.0000,650.0000,7.0000,,0.0000,36000.0000,55.0000,92.5000,0.8000,2020-166
Ni/Si @ CNF,0.3300,750.0000,3.2000,1.0000,6.2000,1.1000,778.0000,693.0000,6.7000,,0.0000,36000.0000,39.0000,85.0000,0.7700,2020-166
Ni @ Si @ CNF,0.3300,800.0000,5.0000,1.0000,8.5000,1.7000,1062.0000,554.0000,18.2000,,0.0000,36000.0000,74.0000,95.0000,0.9500,2020-166
Si @ Ni @ CNF,0.3300,800.0000,1.5000,1.0000,4.6000,1.0000,831.0000,650.0000,7.0000,,0.0000,36000.0000,65.5000,95.0000,0.9000,2020-166
Ni/Si @ CNF,0.3300,800.0000,3.2000,1.0000,6.2000,1.1000,778.0000,693.0000,6.7000,,0.0000,36000.0000,46.0000,90.0000,0.8100,2020-166
Ni @ Si @ CNF,0.3300,850.0000,5.0000,1.0000,8.5000,1.7000,1062.0000,554.0000,18.2000,,0.0000,36000.0000,90.0000,96.0000,1.0500,2020-166
Si @ Ni @ CNF,0.3300,850.0000,1.5000,1.0000,4.6000,1.0000,831.0000,650.0000,7.0000,,0.0000,36000.0000,80.5000,96.0000,0.9400,2020-166
Ni/Si @ CNF,0.3300,850.0000,3.2000,1.0000,6.2000,1.1000,778.0000,693.0000,6.7000,,0.0000,36000.0000,51.0000,92.0000,0.8800,2020-166
Ni-MK@700C,0.5000,800.0000,10.0000,6.0000,17.3500,0.1500,35.0000,758.0000,13.9000,,0.0000,30000.0000,86.0000,91.1500,0.8000,2020-178
Ni-MK@800C,0.5000,800.0000,10.0000,6.0000,15.8700,0.1800,45.0000,794.0000,11.8000,,0.0000,30000.0000,93.7300,87.7900,1.2400,2020-178
Ni-MK@900C,0.5000,800.0000,10.0000,6.0000,19.0300,0.2500,52.0000,800.0000,9.3000,,0.0000,30000.0000,91.5000,80.8000,1.2800,2020-178
Ni/SBA-15,0.5000,750.0000,10.0000,10.0000,6.6000,0.9000,538.7000,662.0000,14.5000,,0.0000,36000.0000,71.2100,79.8200,0.7600,2020-179
1%B-Ni/SBA-15,0.5000,750.0000,10.0000,10.0000,6.7000,0.7000,411.4000,722.0000,11.7000,,2.0000,36000.0000,86.0700,90.2100,0.9000,2020-179
